no,nama_barang,kategori,kode_barang
37,Tanah Bangunan Industri Minuman,TANAH,1.3.1.01.01.03.002
38,Tanah Bangunan Industri Alat RT,TANAH,1.3.1.01.01.03.003
39,Tanah Bangunan Industri Pakaian/Garment,TANAH,1.3.1.01.01.03.004
40,Tanah Bangunan Industri Baja/Besi/Logam,TANAH,1.3.1.01.01.03.005
41,Tanah Bangunan Industri Pengemasan,TANAH,1.3.1.01.01.03.006
42,Tanah Bangunan Industri Bengkel,TANAH,1.3.1.01.01.03.007
43,Tanah Bangunan Industri Penyulingan Minyak,TANAH,1.3.1.01.01.03.008
44,Tanah Bangunan Industri Kimia Dan Pupuk,TANAH,1.3.1.01.01.03.009
45,Tanah Bangunan Industri Obat-Obatan,TANAH,1.3.1.01.01.03.010
46,Tanah Bangunan Industri Semen,TANAH,1.3.1.01.01.03.011
47,Tanah Bangunan Industri Batu-Bata/Batako,TANAH,1.3.1.01.01.03.012
48,Tanah Bangunan Industri Genteng,TANAH,1.3.1.01.01.03.013
49,Tanah Bangunan Industri Percetakan,TANAH,1.3.1.01.01.03.014
50,Tanah Bangunan Industri Tekstil,TANAH,1.3.1.01.01.03.015
51,Tanah Bangunan Industri Alat Olah Raga,TANAH,1.3.1.01.01.03.016
52,Tanah Bangunan Industri Kendaraan/Otomotif,TANAH,1.3.1.01.01.03.017
53,Tanah Bangunan Industri Persenjataan,TANAH,1.3.1.01.01.03.018
54,Tanah Bangunan Industri Kapal Udara,TANAH,1.3.1.01.01.03.019
55,Tanah Bangunan Industri Kapal Laut,TANAH,1.3.1.01.01.03.020
56,Tanah Bangunan Industri Kereta Api,TANAH,1.3.1.01.01.03.021
57,Tanah Bangunan Industri Keramik/Marmer,TANAH,1.3.1.01.01.03.022
58,Tanah Untuk Bangunan Pabrik Es,TANAH,1.3.1.01.01.03.023
59,Tanah Bangunan Industri lainnya (dst),TANAH,1.3.1.01.01.03.024
60,TANAH UNTUK BANGUNAN TEMPAT KERJA,TANAH,1.3.1.01.01.04.000
61,Tanah Bangunan Kantor Pemerintah,TANAH,1.3.1.01.01.04.001
62,Tanah Bangunan Pendidikan Dan Latihan,TANAH,1.3.1.01.01.04.002
63,Tanah Bangunan Rumah Sakit,TANAH,1.3.1.01.01.04.003
64,Tanah Bangunan Balai Sidang/Pertemuan,TANAH,1.3.1.01.01.04.004
65,Tanah Bangunan Balai Nikah,TANAH,1.3.1.01.01.04.005
66,Tanah Bangunan Puskesmas/Posyandu,TANAH,1.3.1.01.01.04.006
67,Tanah Bangunan Poliklinik,TANAH,1.3.1.01.01.04.007
68,Tanah Bangunan Laboratorium,TANAH,1.3.1.01.01.04.008
69,Tanah Bangunan Fumigasi/Sterilisasi,TANAH,1.3.1.01.01.04.009
70,Tanah Bangunan Karantina,TANAH,1.3.1.01.01.04.010
71,Tanah Bangunan Bangsal Pengolahan/Pondok Kerja,TANAH,1.3.1.01.01.04.011
72,Tanah Bangunan Kandang Hewan,TANAH,1.3.1.01.01.04.012
73,Tanah Bangunan Bangunan Pembibitan,TANAH,1.3.1.01.01.04.013
74,Tanah Bangunan Rumah Pendingin,TANAH,1.3.1.01.01.04.014
75,Tanah Bangunan Rumah Pengeringan,TANAH,1.3.1.01.01.04.015
76,Tanah Bangunan Stasiun Penelitian,TANAH,1.3.1.01.01.04.016
77,Tanah Bangunan Gedung Pelelangan Ikan,TANAH,1.3.1.01.01.04.017
78,Tanah Bangunan Pos Jaga/Menara Jaga,TANAH,1.3.1.01.01.04.018
79,"Tanah Bangunan Menara Pengawas/Tower/Lalu Lintas Darat,Laut,Udara",TANAH,1.3.1.01.01.04.019
80,Tanah Bangunan Gedung Perpustakaan,TANAH,1.3.1.01.01.04.020
81,Tanah Bangunan Gedung Pengujian Kelaikan,TANAH,1.3.1.01.01.04.021
82,Tanah Bangunan Gedung Oceanorium/Ebservatorium,TANAH,1.3.1.01.01.04.022
83,Tanah Bangunan Gedung Pemotongan Hewan,TANAH,1.3.1.01.01.04.023
84,Tanah Bangunan Gedung Pembakaran Bangkai Hewan,TANAH,1.3.1.01.01.04.024
85,Tanah Bangunan Perawatan Kereta Api (Depo),TANAH,1.3.1.01.01.04.025
86,Tanah Bangunan Tempat Kerja Lainnya (dst),TANAH,1.3.1.01.01.04.026
87,TANAH UNTUK BANGUNAN GEDUNG SARANA OLAH RAGA,TANAH,1.3.1.01.01.05.000
88,Tanah Untuk Bangunan Sarana Olah Raga Tertutup,TANAH,1.3.1.01.01.05.001
89,Tanah Untuk Bangunan Gedung Sarana Olah Raga Terbuka,TANAH,1.3.1.01.01.05.002
90,Tanah Untuk Bangunan Gedung Sarana Olah Raga Lainnya (dst),TANAH,1.3.1.01.01.05.003
91,TANAH UNTUK BANGUNAN TEMPAT IBADAH,TANAH,1.3.1.01.01.06.000
92,Tanah Untuk Bangunan Masjid,TANAH,1.3.1.01.01.06.001
93,Tanah Untuk Bangunan Gereja,TANAH,1.3.1.01.01.06.002
94,Tanah Untuk Bangunan Pura,TANAH,1.3.1.01.01.06.003
95,Tanah Untuk Bangunan Vihara,TANAH,1.3.1.01.01.06.004
96,Tanah Untuk Bangunan Klenteng/Kuil,TANAH,1.3.1.01.01.06.005
97,Tanah Untuk Bangunan Krematorium,TANAH,1.3.1.01.01.06.006
98,Tanah Untuk Bangunan Ibadah Lainnya,TANAH,1.3.1.01.01.06.007
99,TANAH PERSIL LAINNYA,TANAH,1.3.1.01.01.07.000
100,Tanah Persil Lainnya,TANAH,1.3.1.01.01.07.001
101,TANAH NON PERSIL,TANAH,1.3.1.01.02.00.000
102,TANAH BASAH,TANAH,1.3.1.01.02.01.000
103,Tanah Rawa,TANAH,1.3.1.01.02.01.001
104,Tanah Danau/Situ/Embung,TANAH,1.3.1.01.02.01.002
105,Tanah Tambak/Empang/Kolam Ikan/Akuarium,TANAH,1.3.1.01.02.01.003
106,Tanah Waduk,TANAH,1.3.1.01.02.01.004
107,Tanah Sawah Irigasi,TANAH,1.3.1.01.02.01.005
108,Tanah Aliran Sungai,TANAH,1.3.1.01.02.01.006
109,Tanah Muara,TANAH,1.3.1.01.02.01.007
110,Daerah Aliran Sungai (DAS),TANAH,1.3.1.01.02.01.008
111,Daerah Sempadan Sumber Air,TANAH,1.3.1.01.02.01.009
112,Tanah Basah Lainnya,TANAH,1.3.1.01.02.01.010
113,TANAH KERING,TANAH,1.3.1.01.02.02.000
114,Tanah Tegalan,TANAH,1.3.1.01.02.02.001
115,Tanah Kosong Yang Sudah Diperuntukkan,TANAH,1.3.1.01.02.02.002
116,Tanah Hasil Reklamasi,TANAH,1.3.1.01.02.02.003
117,Tanah Kering Lainnya,TANAH,1.3.1.01.02.02.004
118,TANAH PERKEBUNAN,TANAH,1.3.1.01.02.03.000
119,Tanah Kebun Entres,TANAH,1.3.1.01.02.03.001
120,Tanah Kebun Induk,TANAH,1.3.1.01.02.03.002
121,Tanah Kebun Percobaan,TANAH,1.3.1.01.02.03.003
122,Tanah Perkebunan Lainnya,TANAH,1.3.1.01.02.03.004
123,TANAH HUTAN,TANAH,1.3.1.01.02.04.000
124,Tanah Hutan Produksi,TANAH,1.3.1.01.02.04.001
125,Tanah Hutan Cadangan,TANAH,1.3.1.01.02.04.002
126,Tanah Hutan Lindung,TANAH,1.3.1.01.02.04.003
127,Tanah Hutan Cagar Alam,TANAH,1.3.1.01.02.04.004
128,Tanah Hutan Wisata,TANAH,1.3.1.01.02.04.005
129,Tanah Hutan Taman Burung,TANAH,1.3.1.01.02.04.006
130,Tanah Hutan Suaka Marga Satwa,TANAH,1.3.1.01.02.04.007
131,Tanah Hutan Taman Nasional,TANAH,1.3.1.01.02.04.008
132,Tanah Hutan Diklat,TANAH,1.3.1.01.02.04.009
133,Tanah Hutan lainnya,TANAH,1.3.1.01.02.04.010
134,TANAH TANDUS,TANAH,1.3.1.01.02.05.000
135,Tanah Tandus Berbatu-Batu,TANAH,1.3.1.01.02.05.001
136,Tanah Tandus Bekas Tambang/Galian,TANAH,1.3.1.01.02.05.002
137,Tanah Tandus Berpasir/Pasir,TANAH,1.3.1.01.02.05.003
138,Tanah Tandus Pengambilan/Kuari,TANAH,1.3.1.01.02.05.004
139,Tanah Tandus lainnya,TANAH,1.3.1.01.02.05.005
140,TANAH PADANG ALANG-ALANG/RUMPUT,TANAH,1.3.1.01.02.06.000
141,Tanah Padang Alang-Alang,TANAH,1.3.1.01.02.06.001
142,Tanah Padang Rumput,TANAH,1.3.1.01.02.06.002
143,Tanah Padang Semak Belukar,TANAH,1.3.1.01.02.06.003
144,Tanah Padang lainnya,TANAH,1.3.1.01.02.06.004
145,TANAH PERTANIAN,TANAH,1.3.1.01.02.07.000
146,Tanah Usaha,TANAH,1.3.1.01.02.07.001
147,Tanah Pertanian lainnya,TANAH,1.3.1.01.02.07.002
148,TANAH PERTAMBANGAN,TANAH,1.3.1.01.02.08.000
149,Intan,TANAH,1.3.1.01.02.08.001
150,Emas,TANAH,1.3.1.01.02.08.002
151,Perak,TANAH,1.3.1.01.02.08.003
152,Nikel,TANAH,1.3.1.01.02.08.004
153,Timah,TANAH,1.3.1.01.02.08.005
154,Uranium,TANAH,1.3.1.01.02.08.006
155,Tembaga,TANAH,1.3.1.01.02.08.007
156,Minyak Bumi,TANAH,1.3.1.01.02.08.008
157,Batu Bara,TANAH,1.3.1.01.02.08.009
158,Koslin,TANAH,1.3.1.01.02.08.010
159,Batu Bara Berharga,TANAH,1.3.1.01.02.08.011
160,Pasir Berharga,TANAH,1.3.1.01.02.08.012
161,Tanah tambang lainnya,TANAH,1.3.1.01.02.08.013
162,TANAH NON PERSIL LAINNYA,TANAH,1.3.1.01.02.09.000
163,tanah non persil lainnya lainnya (dst),TANAH,1.3.1.01.02.09.001
164,LAPANGAN,TANAH,1.3.1.01.03.00.000
165,TANAH LAPANGAN OLAH RAGA,TANAH,1.3.1.01.03.01.000
166,Tanah Lapangan Tenis,TANAH,1.3.1.01.03.01.001
167,Tanah Lapangan Basket,TANAH,1.3.1.01.03.01.002
168,Tanah Lapangan Badminton/Bulutangkis,TANAH,1.3.1.01.03.01.003
169,Tanah Lapangan Golf,TANAH,1.3.1.01.03.01.004
170,Tanah Lapangan Sepak Bola,TANAH,1.3.1.01.03.01.005
171,Tanah Lapangan Bola Volly,TANAH,1.3.1.01.03.01.006
172,Tanah Lapangan Sepak Takraw,TANAH,1.3.1.01.03.01.007
173,Tanah Lapangan Pacuan Kuda,TANAH,1.3.1.01.03.01.008
174,Tanah Lapangan Balap Sepeda,TANAH,1.3.1.01.03.01.009
175,Tanah Lapangan Atletik,TANAH,1.3.1.01.03.01.010
176,Tanah Lapangan Softball,TANAH,1.3.1.01.03.01.011
177,Tanah Lapangan Hockey,TANAH,1.3.1.01.03.01.012
178,Tanah Lapangan Balap Mobil,TANAH,1.3.1.01.03.01.013
179,Tanah Lapangan Balap Motor,TANAH,1.3.1.01.03.01.014
180,Tanah Lapangan Renang,TANAH,1.3.1.01.03.01.015
181,Tanah Lapangan Futsal,TANAH,1.3.1.01.03.01.016
182,Tanah Lapangan Senam,TANAH,1.3.1.01.03.01.017
183,Tanah Lapangan Bela  Diri,TANAH,1.3.1.01.03.01.018
184,Tanah Lapangan Polo Air,TANAH,1.3.1.01.03.01.019
185,Tanah Lapangan Hokki,TANAH,1.3.1.01.03.01.020
186,Tanah Lapangan Tembak,TANAH,1.3.1.01.03.01.021
187,Tanah Lapangan Halang Rintang,TANAH,1.3.1.01.03.01.022
188,Tanah Lapangan Tembak Senjata Berat,TANAH,1.3.1.01.03.01.023
189,Tanah Lapangan Tembak Darat ke Udara,TANAH,1.3.1.01.03.01.024
190,Tanah Lapangan Lainnya,TANAH,1.3.1.01.03.01.025
191,TANAH LAPANGAN PARKIR,TANAH,1.3.1.01.03.02.000
192,Tanah Lapangan Parkir Konstruksi Beton,TANAH,1.3.1.01.03.02.001
193,Tanah Lapangan Parkir Konstruksi Aspal,TANAH,1.3.1.01.03.02.002
194,Tanah Lapangan Parkir Sirtu (Pasir Batu),TANAH,1.3.1.01.03.02.003
195,Tanah Lapangan Parkir Konblok,TANAH,1.3.1.01.03.02.004
196,Tanah Lapangan Parkir Tanah Keras,TANAH,1.3.1.01.03.02.005
197,Tanah Lapangan Apel/Upacara,TANAH,1.3.1.01.03.02.006
198,Tanah Lapangan lainnya,TANAH,1.3.1.01.03.02.007
199,TANAH LAPANGAN PENIMBUNAN BARANG,TANAH,1.3.1.01.03.03.000
200,Tanah Lapangan Penimbunan Barang Belum Diolah,TANAH,1.3.1.01.03.03.001
201,Tanah Lapangan Penimbunan Barang Jadi,TANAH,1.3.1.01.03.03.002
202,Tanah Lapangan Penimbunan Pembuangan Sampah,TANAH,1.3.1.01.03.03.003
203,Tanah Lapangan Penimbunan Bahan Bangunan,TANAH,1.3.1.01.03.03.004
204,Tanah Lapangan Penimbunan Barang Bukti,TANAH,1.3.1.01.03.03.005
205,Tanah Lapangan Penimbunan Barang Lainnya,TANAH,1.3.1.01.03.03.006
206,Tanah Lapangan Penimbunan Barang Konstruksi Beton,TANAH,1.3.1.01.03.03.007
207,Tanah Lapangan Penimbunan Barang Konstruksi Aspal,TANAH,1.3.1.01.03.03.008
208,Tanah Lapangan Penimbunan Barang Konstruksi Tanah,TANAH,1.3.1.01.03.03.009
209,tanah lapangan penimbunan barang lainnya (dst),TANAH,1.3.1.01.03.03.010
210,TANAH LAPANGAN PEMANCAR DAN STUDIO ALAM,TANAH,1.3.1.01.03.04.000
211,Tanah Lapangan Pemancar TV/Radio/Radar,TANAH,1.3.1.01.03.04.001
212,Tanah Lapangan Studio Alam,TANAH,1.3.1.01.03.04.002
213,Tanah lapangan pemancar dan studio alam Lainnya,TANAH,1.3.1.01.03.04.003
214,TANAH LAPANGAN PENGUJIAN/PENGOLAHAN,TANAH,1.3.1.01.03.05.000
215,Tanah Lapangan Pengujian Kendaraan Bermotor,TANAH,1.3.1.01.03.05.001
216,Tanah Lapangan Pengolahan Bahan Bangunan,TANAH,1.3.1.01.03.05.002
217,tanah lapangan pengujian/pengolahan lainnya (dst),TANAH,1.3.1.01.03.05.003
218,TANAH LAPANGAN TERBANG,TANAH,1.3.1.01.03.06.000
219,Tanah Lapangan Terbang Perintis,TANAH,1.3.1.01.03.06.001
220,Tanah Lapangan Terbang Komersial,TANAH,1.3.1.01.03.06.002
221,Tanah Lapangan Terbang Khusus/Militer,TANAH,1.3.1.01.03.06.003
222,Tanah Lapangan Terbang Olah Raga,TANAH,1.3.1.01.03.06.004
223,Tanah Lapangan Terbang Pendidikan,TANAH,1.3.1.01.03.06.005
224,Tanah Lapangan Terbang Latihan Penerjunan,TANAH,1.3.1.01.03.06.006
225,Tanah Lapangan Tembak Udara (Air Weapon Range/AWR),TANAH,1.3.1.01.03.06.007
226,Tanah Lapangan Terbang lainnya,TANAH,1.3.1.01.03.06.008
227,TANAH UNTUK JALAN,TANAH,1.3.1.01.03.07.000
228,Tanah Untuk Jalan Nasional,TANAH,1.3.1.01.03.07.001
229,Tanah Untuk Jalan Propinsi,TANAH,1.3.1.01.03.07.002
230,Tanah Untuk Jalan Kabupaten,TANAH,1.3.1.01.03.07.003
231,Tanah Untuk Jalan Kotamadya,TANAH,1.3.1.01.03.07.004
232,Tanah Untuk Jalan Desa,TANAH,1.3.1.01.03.07.005
233,Tanah Untuk Jalan Tol,TANAH,1.3.1.01.03.07.006
234,Tanah Untuk Jalan Kereta Api/Lori,TANAH,1.3.1.01.03.07.007
235,Tanah Untuk Jalan Landasan Pacu Pesawat Terbang,TANAH,1.3.1.01.03.07.008
236,Tanah Untuk Jalan Khusus/Komplek,TANAH,1.3.1.01.03.07.009
237,Tanah Untuk Jembatan,TANAH,1.3.1.01.03.07.010
238,Tanah untuk Jalan lainnya,TANAH,1.3.1.01.03.07.011
239,TANAH UNTUK BANGUNAN AIR,TANAH,1.3.1.01.03.08.000
240,Tanah Untuk Bangunan Air Irigasi,TANAH,1.3.1.01.03.08.001
241,Tanah Untuk Bangunan Pengairan Pasang Surut,TANAH,1.3.1.01.03.08.002
242,Tanah Untuk Bangunan Pengembangan Rawa Dan Polder,TANAH,1.3.1.01.03.08.003
243,Tanah Untuk Bangunan Pengaman Sungai Dan Penanggulangan Bencana Alam,TANAH,1.3.1.01.03.08.004
244,Tanah Untuk Bangunan Pengembangan Sumber Air Dan Air Tanah,TANAH,1.3.1.01.03.08.005
245,Tanah Untuk Bangunan Air Bersih/Air Baku,TANAH,1.3.1.01.03.08.006
246,Tanah Untuk Bangunan Air Kotor,TANAH,1.3.1.01.03.08.007
247,Tanah Untuk Bangunan Hatchery,TANAH,1.3.1.01.03.08.008
248,Tanah Bangunan Air lainnya,TANAH,1.3.1.01.03.08.009
249,TANAH UNTUK BANGUNAN INSTALASI,TANAH,1.3.1.01.03.09.000
250,Tanah Untuk Bangunan Instalasi Air Bersih/Air Baku,TANAH,1.3.1.01.03.09.001
251,Tanah Untuk Bangunan Instalasi Air Kotor/Air Limbah,TANAH,1.3.1.01.03.09.002
252,Tanah Untuk Bangunan Instalasi Pengolahan Sampah,TANAH,1.3.1.01.03.09.003
253,Tanah Untuk Bangunan Instalasi Pengolahan Bahan Bangunan,TANAH,1.3.1.01.03.09.004
254,Tanah Untuk Bangunan Instalasi Listrik,TANAH,1.3.1.01.03.09.005
255,Tanah Untuk Bangunan Instalasi Gardu Listrik,TANAH,1.3.1.01.03.09.006
256,Tanah Untuk Bangunan Instalasi Pengolahan Limbah,TANAH,1.3.1.01.03.09.007
257,Tanah Untuk Bangunan Instalasi Pertahanan,TANAH,1.3.1.01.03.09.008
258,Tanah Untuk Bangunan Instalasi lainnya,TANAH,1.3.1.01.03.09.009
259,TANAH UNTUK BANGUNAN JARINGAN,TANAH,1.3.1.01.03.10.000
260,Tanah Untuk Bangunan Jaringan Air Bersih/Air Baku,TANAH,1.3.1.01.03.10.001
261,Tanah Untuk Bangunan Jaringan Komunikasi,TANAH,1.3.1.01.03.10.002
262,Tanah Untuk Bangunan Jaringan Listrik,TANAH,1.3.1.01.03.10.003
263,Tanah Untuk Bangunan Jaringan Gas/BBM,TANAH,1.3.1.01.03.10.004
264,tanah untuk bangunan jaringan lainnya (dst),TANAH,1.3.1.01.03.10.005
265,TANAH UNTUK BANGUNAN BERSEJARAH,TANAH,1.3.1.01.03.11.000
266,Tanah Untuk Monumen,TANAH,1.3.1.01.03.11.001
267,Tanah Untuk Tugu Peringatan,TANAH,1.3.1.01.03.11.002
268,Tanah Untuk Tugu Batas Wilayah,TANAH,1.3.1.01.03.11.003
269,Tanah Untuk Candi,TANAH,1.3.1.01.03.11.004
270,Tanah Untuk Bangunan Museum,TANAH,1.3.1.01.03.11.005
271,Tanah Untuk Bangunan Rumah Adat,TANAH,1.3.1.01.03.11.006
272,Tanah Bangunan Bersejarah lainnya,TANAH,1.3.1.01.03.11.007
273,TANAH UNTUK MAKAM,TANAH,1.3.1.01.03.12.000
274,Tanah Untuk Makam Pahlawan,TANAH,1.3.1.01.03.12.001
275,Tanah Untuk Makam Muslim,TANAH,1.3.1.01.03.12.002
276,Tanah Untuk Makam Kristen,TANAH,1.3.1.01.03.12.003
277,Tanah Untuk Makam Hindu/Budha/China,TANAH,1.3.1.01.03.12.004
278,Tanah Untuk Makam Umum,TANAH,1.3.1.01.03.12.005
279,Tanah Untuk Makam Bersejarah,TANAH,1.3.1.01.03.12.006
280,Tanah Untuk Makam lainnya,TANAH,1.3.1.01.03.12.007
281,TANAH UNTUK TAMAN,TANAH,1.3.1.01.03.13.000
282,Tanah Lapangan Taman Peralatan Perambuan Pantai,TANAH,1.3.1.01.03.13.001
283,Tanah Lapangan Taman Peralatan Meteo dan Geofisika,TANAH,1.3.1.01.03.13.002
284,Tanah Lapangan Taman lainnya,TANAH,1.3.1.01.03.13.003
285,TANAH UNTUK LATIHAN,TANAH,1.3.1.01.03.14.000
286,Tanah Untuk Latihan Tempur,TANAH,1.3.1.01.03.14.001
287,Tanah untuk latihan lainnya,TANAH,1.3.1.01.03.14.002
288,TANAH DAERAH PERTAHANAN,TANAH,1.3.1.01.03.15.000
289,Tanah Untuk Pertahanan Pantai,TANAH,1.3.1.01.03.15.001
290,Tanah Untuk Benteng Pertahanan,TANAH,1.3.1.01.03.15.002
291,Tanah Daerah Pertahanan Pos PAMTAS,TANAH,1.3.1.01.03.15.003
292,tanah daerah pertahanan lainnya (dst),TANAH,1.3.1.01.03.15.004
293,TANAH LAPANGAN PBB,TANAH,1.3.1.01.03.16.000
294,Tanah Lapangan Untuk Parade / Devile,TANAH,1.3.1.01.03.16.001
295,tanah lapangan pbb lainnya (dst),TANAH,1.3.1.01.03.16.002
296,TANAH KAMPUNG,TANAH,1.3.1.01.03.17.000
297,Tanah Kampung,TANAH,1.3.1.01.03.17.001
298,tanah kampung lainnya (dst),TANAH,1.3.1.01.03.17.002
299,EMPLASMENT,TANAH,1.3.1.01.03.18.000
300,Emplasment,TANAH,1.3.1.01.03.18.001
301,emplasment lainnya (dst),TANAH,1.3.1.01.03.18.002
302,LAPANGAN LAINNYA,TANAH,1.3.1.01.03.19.000
303,lapangan lainnya lainnya (dst),TANAH,1.3.1.01.03.19.001
304,PERALATAN DAN MESIN,PERALATAN DAN MESIN,1.3.2.00.00.00.000
305,ALAT BESAR,PERALATAN DAN MESIN,1.3.2.01.00.00.000
306,ALAT BESAR DARAT,PERALATAN DAN MESIN,1.3.2.01.01.00.000
307,TRACTOR,PERALATAN DAN MESIN,1.3.2.01.01.01.000
308,Crawler Tractor + Attachment,PERALATAN DAN MESIN,1.3.2.01.01.01.001
309,Wheel Tractor + Attachment,PERALATAN DAN MESIN,1.3.2.01.01.01.002
310,Swamp Tractor + Attachment,PERALATAN DAN MESIN,1.3.2.01.01.01.003
311,Prime Mower,PERALATAN DAN MESIN,1.3.2.01.01.01.004
312,Aircraft Towing Tractor,PERALATAN DAN MESIN,1.3.2.01.01.01.005
313,Towing Bar,PERALATAN DAN MESIN,1.3.2.01.01.01.006
314,Bulldozer,PERALATAN DAN MESIN,1.3.2.01.01.01.007
315,Wheel Dozer,PERALATAN DAN MESIN,1.3.2.01.01.01.008
316,tractor lainnya (dst),PERALATAN DAN MESIN,1.3.2.01.01.01.009
317,GRADER,PERALATAN DAN MESIN,1.3.2.01.01.02.000
318,Grader + Attachment,PERALATAN DAN MESIN,1.3.2.01.01.02.001
319,Grader Towed Type,PERALATAN DAN MESIN,1.3.2.01.01.02.002
320,Buldozer,PERALATAN DAN MESIN,1.3.2.01.01.02.003
321,Draiglines,PERALATAN DAN MESIN,1.3.2.01.01.02.004
322,SlovelDozer,PERALATAN DAN MESIN,1.3.2.01.01.02.005
323,EXCAVATOR,PERALATAN DAN MESIN,1.3.2.01.01.03.000
324,Crawler Excavator + Attachment,PERALATAN DAN MESIN,1.3.2.01.01.03.001
325,Wheel Excavator + Attachment,PERALATAN DAN MESIN,1.3.2.01.01.03.002
326,excavator lainnya (dst),PERALATAN DAN MESIN,1.3.2.01.01.03.003
327,PILE DRIVER,PERALATAN DAN MESIN,1.3.2.01.01.04.000
328,Diesel Pile Driver,PERALATAN DAN MESIN,1.3.2.01.01.04.001
329,Pneumatic Pile Driver,PERALATAN DAN MESIN,1.3.2.01.01.04.002
330,Vibration Pile Driver,PERALATAN DAN MESIN,1.3.2.01.01.04.003
331,HAULER,PERALATAN DAN MESIN,1.3.2.01.01.05.000
332,Self Propelled Scraper,PERALATAN DAN MESIN,1.3.2.01.01.05.001
333,Towed Scraper,PERALATAN DAN MESIN,1.3.2.01.01.05.002
334,Dump Truck,PERALATAN DAN MESIN,1.3.2.01.01.05.003
335,Dump Wagon,PERALATAN DAN MESIN,1.3.2.01.01.05.004
336,Lori,PERALATAN DAN MESIN,1.3.2.01.01.05.005
337,hauler lainnya (dst),PERALATAN DAN MESIN,1.3.2.01.01.05.006
338,ASPHALT EQUIPMENT,PERALATAN DAN MESIN,1.3.2.01.01.06.000
339,Asphalt Mixing Plant,PERALATAN DAN MESIN,1.3.2.01.01.06.001
340,Asphalt Finisher,PERALATAN DAN MESIN,1.3.2.01.01.06.002
341,Asphalt Distributor,PERALATAN DAN MESIN,1.3.2.01.01.06.003
342,Asphalt Heater,PERALATAN DAN MESIN,1.3.2.01.01.06.004
343,Asphalt Tanker,PERALATAN DAN MESIN,1.3.2.01.01.06.005
344,Asphalt Sprayer,PERALATAN DAN MESIN,1.3.2.01.01.06.006
345,Asbuton Dryer,PERALATAN DAN MESIN,1.3.2.01.01.06.007
346,Asphalt Recycle,PERALATAN DAN MESIN,1.3.2.01.01.06.008
347,Cold Milling Machine,PERALATAN DAN MESIN,1.3.2.01.01.06.009
348,Asphalt Mixer,PERALATAN DAN MESIN,1.3.2.01.01.06.010
349,Bitumen / Asphalt Test,PERALATAN DAN MESIN,1.3.2.01.01.06.011
